distance_m,soil_moisture_content_pct
38.19,3.765093625
38.33,3.706019828
38.47,3.096946031
38.61,3.217872234
38.75,2.878798437
38.89,2.60972464
39.03,3.070650843
39.17,2.671577046
39.31,3.122503249
39.44,2.753429452
39.58,2.204355655
39.72,2.825281858
39.86,2.576208061
40.00,2.067134264
40.14,2.828060467
40.28,2.78898667
40.42,3.019912873
40.56,3.280839076
40.69,3.791765279
40.83,3.372691482
40.97,4.073617686
41.11,3.624543889
41.25,3.605470092
41.39,4.436396295
41.53,4.207322498
41.67,3.918248701
41.81,3.499174904
41.94,2.980101107
42.08,3.91102731
42.22,2.821953513
42.36,3.232879716
42.50,4.043805919
42.64,3.084732122
42.78,3.965658325
42.92,3.676584528
43.06,3.447510731
43.19,3.638436934
43.33,2.499363137
43.47,2.67028934
43.61,3.251215543
43.75,3.292141746
43.89,3.373067949
44.03,3.753994152
44.17,2.854920355
44.31,3.105846559
44.44,3.576772762
44.58,2.577698965
44.72,2.698625168
44.86,2.919551371
45.00,2.140477574
45.14,2.391403777
45.28,3.08232998
45.42,2.243256183
45.56,3.944182386
45.69,2.525108589
45.83,2.296034792
45.97,2.256960995
46.11,2.197887198
46.25,2.778813401
46.39,2.869739604
46.53,3.430665807
46.67,2.45159201
46.81,2.682518213
46.94,2.713444416
47.08,2.864370619
47.22,2.585296822
47.36,2.286223025
47.50,2.817149228
47.64,2.568075431
47.78,2.259001635
47.92,2.599927838
48.06,2.190854041
48.19,2.871780244
48.33,2.552706447
48.47,2.53363265
48.61,2.844558853
48.75,2.755485056
48.89,2.936411259
49.03,3.067337462
49.17,3.318263665
49.31,3.309189868
49.44,2.630116071
49.58,2.861042274
49.72,2.261968477
49.86,2.89289468
50.00,2.883820883
50.14,3.034747086
50.28,3.255673289
50.42,3.256599492
50.56,3.217525695
50.69,3.778451898
50.83,3.619378101
50.97,3.990304304
51.11,3.991230508
51.25,3.092156711
51.39,3.003082914
51.53,2.934009117
51.67,3.05493532
51.81,3.735861523
51.94,4.116787726
52.08,3.937713929
52.22,3.588640132
52.36,2.949566335
52.50,2.730492538
52.64,3.031418741
52.78,3.202344944
52.92,3.323271147
53.06,3.46419735
53.19,2.185123553
53.33,2.746049756
53.47,2.016975959
53.61,1.997902162
53.75,2.428828365
53.89,2.149754568
54.03,2.350680771
54.17,1.991606974
54.31,1.812533177
54.44,2.023459381
54.58,1.804385584
54.72,1.505311787
54.86,1.99623799
55.00,2.537164193
55.14,2.048090396
55.28,3.359016599
55.42,2.799942802
55.56,1.940869005
55.69,2.311795208
55.83,1.732721411
55.97,1.953647614
